title,main_genre,runtime,vote_average,imdb_id,release_date,year
Shenandoah,Action,105.0,6.7,tt0059711,1965-06-03,1965
Straight Talk,Comedy,91.0,6.0,tt0105481,1992-04-03,1992
Oscar,Action,109.0,6.2,tt0102603,1991-04-26,1991
The Sixth Man,Fantasy,107.0,5.0,tt0120142,1997-03-28,1997
The Far Country,Drama,97.0,6.5,tt0048055,1955-02-12,1955
The Railway Children,Drama,109.0,7.1,tt0066279,1970-12-21,1970
Two Mules for Sister Sara,Western,116.0,6.6,tt0065134,1970-06-14,1970
Winchester '73,Western,92.0,7.5,tt0043137,1950-07-12,1950
Ziggy  Stardust and the Spiders from Mars,Documentary,90.0,7.6,tt0086643,1973-12-23,1973
Battle Cry,Drama,149.0,5.3,tt0047860,1955-02-02,1955
The Courtship of Eddie's Father,Drama,118.0,4.7,tt0056956,1963-03-27,1963
Man with a Movie Camera,Drama,68.0,8.1,tt0019760,1929-01-08,1929
"Objective, Burma!",Action,142.0,6.3,tt0037954,1945-02-17,1945
Operation Pacific,Drama,111.0,4.9,tt0043887,1951-01-27,1951
This Boy’s Life,Drama,115.0,7.0,tt0108330,1993-04-09,1993
13 Rue Madeleine,Thriller,95.0,6.3,tt0038279,1947-01-15,1947
633 Squadron,Action,102.0,5.3,tt0057811,1964-04-06,1964
Attack,Action,107.0,6.8,tt0048966,1956-09-19,1956
Barton Fink,Comedy,116.0,7.4,tt0101410,1991-08-01,1991
Battle of Britain,Action,132.0,6.5,tt0064072,1969-09-15,1969
Belle Époque,Comedy,109.0,6.9,tt0103791,1992-12-04,1992
The Big Trail,Adventure,125.0,6.4,tt0020691,1930-11-01,1930
Cloak and Dagger,Drama,106.0,6.4,tt0038417,1946-09-28,1946
The Comancheros,Western,105.0,6.4,tt0054757,1961-10-30,1961
Duel at Diablo,Action,103.0,6.3,tt0060355,1966-06-15,1966
The Flight of the Phoenix,Adventure,142.0,7.0,tt0059183,1965-12-15,1965
From the Terrace,Drama,149.0,5.8,tt0053841,1960-09-09,1960
"Heaven Knows, Mr. Allison",Adventure,108.0,6.8,tt0050490,1957-03-13,1957
The Hot Rock,Crime,101.0,6.7,tt0068718,1972-01-26,1972
"The Long, Hot Summer",Drama,115.0,6.5,tt0051878,1958-04-03,1958
Man of Aran,Documentary,76.0,7.0,tt0025456,1934-04-24,1934
Music Box,Crime,124.0,6.8,tt0100211,1989-12-22,1989
North to Alaska,Western,122.0,5.7,tt0054127,1960-11-07,1960
This Man Must Die,Drama,113.0,7.5,tt0064861,1969-09-04,1969
Sink the Bismarck!,Action,97.0,6.7,tt0054310,1960-02-11,1960
The Blue Max,War,156.0,6.6,tt0060177,1966-06-21,1966
The Desert Fox: The Story of Rommel,Action,88.0,6.4,tt0043461,1951-10-16,1951
The Trial,Crime,118.0,7.4,tt0057427,1962-12-21,1962
The Unforgiven,Romance,125.0,5.8,tt0054428,1960-01-01,1960
The Undefeated,Western,119.0,5.6,tt0065150,1969-10-04,1969
Divine Trash,Documentary,97.0,7.4,tt0150338,1998-01-18,1998
Good Burger,Comedy,103.0,5.4,tt0119215,1997-07-25,1997
Jubilee,Comedy,106.0,5.9,tt0076240,1978-02-01,1978
Mississippi Masala,Drama,118.0,6.4,tt0102456,1991-09-18,1991
Quai des Orfèvres,Crime,106.0,7.8,tt0039739,1947-10-03,1947
A Stranger Among Us,Drama,110.0,5.2,tt0105483,1992-07-17,1992
Cahill U.S. Marshal,Drama,103.0,5.7,tt0069834,1973-07-11,1973
Chisum,Western,111.0,6.7,tt0065547,1970-07-23,1970
Defence of the Realm,Action,96.0,6.8,tt0089009,1986-09-06,1986
Half Moon Street,Drama,90.0,5.1,tt0091164,1986-08-13,1986
The Truce,Drama,125.0,5.4,tt0117959,1997-02-10,1997
Opportunity Knocks,Comedy,103.0,5.3,tt0100301,1990-03-30,1990
Shattered,Mystery,98.0,6.1,tt0102900,1991-10-11,1991
The Song of Bernadette,Drama,156.0,7.4,tt0036377,1943-12-21,1943
The Life and Times of Judge Roy Bean,Action,120.0,6.5,tt0068853,1972-12-18,1972
The Spirit of '76,Comedy,82.0,3.3,tt0100670,1990-01-01,1990
Thoroughly Modern Millie,Comedy,138.0,7.1,tt0062362,1967-03-21,1967
Where the Heart Is,Comedy,107.0,6.3,tt0100924,1990-02-23,1990
Dumb and Dumberer: When Harry Met Lloyd,Comedy,85.0,4.1,tt0329028,2003-06-13,2003
From Justin to Kelly,Comedy,90.0,3.0,tt0339034,2003-06-20,2003
Hollywood Homicide,Action,116.0,5.0,tt0329717,2003-06-09,2003
Rugrats Go Wild,Animation,84.0,5.6,tt0337711,2003-06-13,2003
The Hard Word,Action,102.0,5.7,tt0280490,2002-05-30,2002
The Heart of Me,Drama,96.0,7.7,tt0301390,2002-01-01,2002
Jet Lag,Comedy,91.0,5.7,tt0293116,2002-10-30,2002
Loco Love,Comedy,94.0,4.7,tt0293452,2003-03-16,2003
Manito,Drama,78.0,5.5,tt0298050,2002-01-15,2002
Tycoon,Drama,128.0,5.9,tt0308671,2002-06-06,2002
Alex & Emma,Comedy,96.0,5.0,tt0318283,2003-06-16,2003
Experiment in Terror,Crime,123.0,6.5,tt0055972,1962-04-12,1962
Extasis,Drama,93.0,6.3,tt0118239,1996-02-16,1996
Is Paris Burning?,War,175.0,7.2,tt0060814,1966-10-26,1966
Murphy's War,Drama,107.0,6.4,tt0067458,1971-07-01,1971
Orphans of the Storm,Drama,150.0,6.8,tt0012532,1921-12-28,1921
The Satanic Rites of Dracula,Horror,87.0,5.1,tt0070634,1973-11-03,1973
Strange Planet,Comedy,96.0,6.1,tt0209368,1999-10-06,1999
28 Days Later,Horror,113.0,7.1,tt0289043,2002-10-31,2002
Charlie's Angels: Full Throttle,Action,106.0,5.2,tt0305357,2003-06-27,2003
Gasoline,Crime,90.0,5.4,tt0302309,2001-11-20,2001
Ed and His Dead Mother,Comedy,93.0,5.5,tt0106792,1993-06-04,1993
Fulltime Killer,Action,102.0,6.6,tt0286635,2001-08-03,2001
Just a Little Harmless Sex,Comedy,98.0,6.0,tt0175777,1999-06-11,1999
The Bank,Drama,104.0,5.0,tt0241223,2001-09-06,2001
Ali: Fear Eats the Soul,Romance,93.0,7.5,tt0071141,1974-03-05,1974
"Bodies, Rest & Motion",Drama,95.0,4.3,tt0106447,1993-01-10,1993
Jesus,Drama,117.0,8.9,tt0079368,1979-10-19,1979
The Long Ships,Adventure,126.0,6.0,tt0057259,1964-06-24,1964
Made for Each Other,Comedy,92.0,4.9,tt0031602,1939-02-10,1939
Ring of Terror,Horror,71.0,1.2,tt0056415,1962-02-01,1962
You Only Live Once,Crime,86.0,7.2,tt0029808,1937-01-29,1937
Anastasia,Drama,105.0,6.7,tt0048947,1956-12-13,1956
The Babe,Drama,115.0,5.4,tt0103747,1992-04-17,1992
Flight of the Intruder,Action,115.0,5.7,tt0099587,1991-01-18,1991
Fun with Dick and Jane,Comedy,95.0,6.6,tt0076059,1977-03-18,1977
Knights of the Round Table,Romance,115.0,6.8,tt0045966,1953-12-22,1953
The Main Event,Comedy,112.0,4.8,tt0079510,1979-06-22,1979
Man's Favorite Sport?,Comedy,120.0,5.8,tt0058324,1964-01-29,1964
Mr. Baseball,Comedy,108.0,5.8,tt0104926,1992-10-01,1992
Never on Sunday,Drama,91.0,6.0,tt0054198,1960-05-24,1960
Nuts,Drama,116.0,6.0,tt0093660,1987-11-20,1987
Rhapsody in August,Comedy,98.0,6.8,tt0101991,1991-05-25,1991
Scaramouche,Action,115.0,6.9,tt0045125,1952-05-08,1952
Start the Revolution Without Me,Comedy,90.0,5.5,tt0066402,1970-08-14,1970
Strange Bedfellows,Comedy,98.0,6.8,tt0058621,1965-02-09,1965
The Tenant,Horror,125.0,7.7,tt0074811,1976-05-26,1976
The Advocate,Drama,102.0,5.8,tt0107146,1993-09-25,1993
Up the Sandbox,Drama,97.0,7.3,tt0069449,1972-12-21,1972
"What's Up, Doc?",Comedy,94.0,7.3,tt0069495,1972-03-09,1972
Hulk,Drama,138.0,5.3,tt0286716,2003-06-19,2003
"Legally Blonde 2: Red, White & Blonde",Comedy,95.0,5.2,tt0333780,2003-07-02,2003
Sinbad: Legend of the Seven Seas,Family,86.0,6.6,tt0165982,2003-07-02,2003
Terminator 3: Rise of the Machines,Action,109.0,5.9,tt0181852,2003-07-02,2003
Swimming Pool,Thriller,102.0,6.5,tt0324133,2003-05-18,2003
Pirates of the Caribbean: The Curse of the Black Pearl,Adventure,143.0,7.5,tt0325980,2003-07-09,2003
Madame Satã,Drama,139.0,5.6,tt0317887,2002-01-01,2002
The League of Extraordinary Gentlemen,Fantasy,110.0,5.7,tt0311429,2003-07-11,2003
The Cuckoo,Drama,100.0,6.9,tt0308476,2002-01-01,2002
The Holy Land,Drama,102.0,0.0,tt0283387,2001-04-04,2001
The Housekeeper,Comedy,91.0,6.1,tt0291538,2002-11-13,2002
I Capture the Castle,Drama,113.0,7.1,tt0300015,2003-05-09,2003
Km. 0,Comedy,108.0,7.2,tt0251777,2000-01-01,2000
Northfork,Fantasy,103.0,6.8,tt0322659,2003-01-01,2003
Bad Boys II,Adventure,147.0,6.3,tt0172156,2003-07-18,2003
How to Deal,Drama,99.0,5.7,tt0319524,2003-07-18,2003
Johnny English,Adventure,88.0,6.0,tt0274166,2003-04-06,2003
The Anarchist Cookbook,Drama,101.0,3.8,tt0284850,2002-06-06,2002
Dirty Pretty Things,Crime,97.0,6.8,tt0301199,2002-09-05,2002
L'imbalsamatore,Foreign,101.0,7.0,tt0322725,2002-09-06,2002
Garage Days,Comedy,105.0,4.9,tt0280696,2002-10-03,2002
On the Run,Thriller,117.0,7.0,tt0233418,2002-09-11,2002
The Sea Is Watching,Drama,119.0,7.0,tt0316829,2002-07-27,2002
Born to Be Wild,Drama,100.0,5.0,tt0113533,1995-03-31,1995
Curly Sue,Comedy,101.0,5.5,tt0101635,1991-10-24,1991
Little Giants,Comedy,107.0,6.0,tt0110364,1994-10-14,1994
Loose Cannons,Action,94.0,4.9,tt0100053,1990-02-09,1990
The Mouse That Roared,Comedy,83.0,6.9,tt0053084,1959-07-17,1959
Spencer's Mountain,Drama,118.0,6.3,tt0057523,1963-05-16,1963
Masked and Anonymous,Drama,112.0,5.2,tt0319829,2003-08-08,2003
Lara Croft Tomb Raider: The Cradle of Life,Action,117.0,5.5,tt0325703,2003-07-21,2003
Seabiscuit,Drama,141.0,6.8,tt0329575,2003-07-22,2003
Spy Kids 3-D: Game Over,Action,84.0,4.7,tt0338459,2003-07-25,2003
Buffalo Soldiers,Drama,98.0,6.5,tt0252299,2001-09-08,2001
Camp,Comedy,114.0,5.6,tt0342167,2003-09-05,2003
Hotel,Comedy,93.0,3.5,tt0278487,2001-01-01,2001
"Lucía, Lucía",Adventure,110.0,6.3,tt0314170,2003-01-17,2003
Mondays in the Sun,Drama,113.0,7.0,tt0319769,2002-09-27,2002
Scorched,Comedy,95.0,5.4,tt0286947,2003-05-17,2003
Avanti!,Comedy,140.0,6.8,tt0068240,1972-12-17,1972
Eve of Destruction,Action,99.0,5.1,tt0101831,1991-01-18,1991
Gator,Drama,115.0,4.9,tt0074564,1976-08-25,1976
Juggernaut,Thriller,109.0,6.0,tt0071706,1974-09-25,1974
Kickboxer 2:  The Road Back,Action,89.0,4.2,tt0102202,1991-01-30,1991
"Kiss Me, Stupid",Comedy,125.0,6.7,tt0058265,1964-12-22,1964
"One, Two, Three",Comedy,115.0,7.6,tt0055256,1961-12-15,1961
Possible Loves,Drama,0.0,6.4,tt0275915,2001-01-22,2001
The Private Life of Sherlock Holmes,Adventure,125.0,6.9,tt0066249,1970-10-29,1970
Remo Williams: The Adventure Begins...,Comedy,121.0,6.4,tt0089901,1985-10-11,1985
The Blood of Heroes,Action,100.0,5.9,tt0094764,1989-10-19,1989
"What's Up, Tiger Lily?",Action,80.0,5.6,tt0061177,1966-11-02,1966
White Lightning,Drama,101.0,6.2,tt0070915,1973-08-06,1973
American Wedding,Comedy,103.0,6.0,tt0328828,2003-08-01,2003
Gigli,Drama,121.0,3.5,tt0299930,2003-08-01,2003
And Now... Ladies and Gentlemen...,Drama,133.0,8.0,tt0283883,2002-05-29,2002
I'll Be There,Comedy,105.0,5.8,tt0325352,2003-06-13,2003
The Magdalene Sisters,Drama,119.0,7.4,tt0318411,2002-10-24,2002
The Secret Lives of Dentists,Drama,104.0,6.8,tt0314630,2002-09-09,2002
Freaky Friday,Comedy,97.0,6.0,tt0322330,2003-08-03,2003
Seaside,Drama,90.0,2.5,tt0298126,2002-05-01,2002
S.W.A.T.,Action,117.0,5.8,tt0257076,2003-08-08,2003
Le Divorce,Comedy,117.0,4.8,tt0306734,2003-08-08,2003
Princess Blade,Action,95.0,5.6,tt0310149,2001-12-15,2001
Step Into Liquid,Documentary,87.0,7.1,tt0308508,2003-08-05,2003
Accattone,Drama,120.0,7.8,tt0054599,1961-08-31,1961
Big Trouble,Action,93.0,6.3,tt0090727,1986-05-30,1986
Brain Damage,Comedy,86.0,6.8,tt0094793,1988-04-15,1988
A Double Life,Drama,104.0,7.1,tt0039335,1947-12-25,1947
Hawks and Sparrows,Comedy,89.0,7.1,tt0061132,1966-01-05,1966
The Man in the Glass Booth,Action,117.0,6.7,tt0073345,1975-01-27,1975
Purpose,Thriller,96.0,3.5,tt0257019,2002-02-21,2002
The Red Pony,Action,91.0,5.0,tt0041792,1949-03-28,1949
Sex & the Other Man,Drama,89.0,4.3,tt0112628,1995-06-13,1995
The Gospel According to Matthew,History,137.0,7.4,tt0058715,1964-09-04,1964
The Honeymoon Killers,Crime,108.0,6.7,tt0064437,1970-02-04,1970
Umberto D.,Drama,89.0,8.0,tt0045274,1952-01-20,1952
Brother's Keeper,Documentary,104.0,7.4,tt0103888,1992-09-09,1992
The Day of the Dolphin,Action,104.0,5.4,tt0069946,1973-12-19,1973
I Love You to Death,Action,94.0,6.2,tt0099819,1990-04-06,1990
Freddy vs. Jason,Horror,97.0,5.8,tt0329101,2003-08-15,2003
Grind,Action,105.0,6.1,tt0338077,2003-08-15,2003
Open Range,Western,139.0,7.0,tt0316356,2003-08-29,2003
Shaolin Soccer,Action,113.0,6.6,tt0286112,2001-07-12,2001
Uptown Girls,Comedy,92.0,6.1,tt0263757,2003-08-15,2003
American Splendor,Comedy,101.0,7.1,tt0305206,2003-08-15,2003
The Backyard,Documentary,80.0,9.0,tt0309326,2002-03-08,2002
Carnage,Drama,130.0,7.5,tt0280523,2002-05-17,2002
Passionada,Comedy,108.0,6.7,tt0285879,2003-08-17,2003
Agent Cody Banks,Action,102.0,5.0,tt0313911,2003-03-14,2003
Camp Nowhere,Comedy,96.0,5.5,tt0109369,1994-08-26,1994
The Cemetery Club,Comedy,107.0,3.0,tt0106536,1993-02-03,1993
Changing Habits,Romance,95.0,1.0,tt0115865,1997-05-20,1997
Hot Dog... The Movie,Comedy,96.0,4.4,tt0087425,1984-01-13,1984
House of Wax,Crime,90.0,7.0,tt0045888,1953-04-10,1953
The Inn of the Sixth Happiness,Drama,158.0,6.6,tt0051776,1958-12-11,1958
Man's Best Friend,Horror,97.0,5.5,tt0107504,1993-11-19,1993
Of Unknown Origin,Horror,88.0,5.9,tt0086036,1983-11-24,1983
Royal Deceit,Drama,85.0,6.1,tt0110891,1994-02-23,1994
Rowing with the Wind,Horror,126.0,4.2,tt0093840,1988-01-01,1988
The Rachel Papers,Comedy,95.0,5.5,tt0098160,1989-05-12,1989
The Sure Thing,Comedy,100.0,6.6,tt0090103,1985-03-01,1985
Thrashin',Action,93.0,6.5,tt0092085,1986-08-29,1986
Valley Girl,Comedy,99.0,6.2,tt0086525,1983-04-08,1983
Wait Until Dark,Horror,108.0,7.5,tt0062467,1967-10-26,1967
Where the Rivers Flow North,Drama,106.0,5.5,tt0108557,1993-06-14,1993
Code Unknown,War,118.0,6.9,tt0216625,2000-05-19,2000
Showdown in Little Tokyo,Action,79.0,5.7,tt0102915,1991-08-23,1991
Tokyo Story,Drama,136.0,8.2,tt0046438,1953-11-03,1953
The Green Ray,Drama,98.0,7.4,tt0091830,1986-08-29,1986
THX 1138,Drama,86.0,6.4,tt0066434,1971-03-11,1971
Valley of the Dolls,Music,123.0,6.7,tt0062430,1967-12-27,1967
The Business of Fancydancing,Music,103.0,8.0,tt0303313,2002-01-14,2002
Chunhyang,Drama,120.0,6.8,tt0245837,2000-01-29,2000
Tunes of Glory,Drama,102.0,7.1,tt0054412,1960-08-16,1960
Kind Hearts and Coronets,Comedy,106.0,7.6,tt0041546,1949-01-01,1949
Ash Wednesday,Drama,99.0,5.5,tt0280438,2002-10-11,2002
Joe Kidd,Western,88.0,6.4,tt0068768,1972-07-14,1972
The Keep,Horror,96.0,5.9,tt0085780,1983-12-16,1983
Atragon,Foreign,96.0,5.3,tt0057215,1963-12-22,1963
The Mysterians,Science Fiction,89.0,6.1,tt0050251,1957-12-28,1957
Attack of the Puppet People,Horror,79.0,4.8,tt0051381,1958-04-01,1958
"The Beast from 20,000 Fathoms",Adventure,80.0,6.7,tt0045546,1953-06-13,1953
10,Comedy,122.0,5.4,tt0078721,1979-10-04,1979
Tremors,Action,96.0,6.6,tt0100814,1990-01-19,1990
The Red Shoes,Drama,133.0,8.2,tt0040725,1948-07-20,1948
Me & Isaac Newton,Documentary,0.0,0.0,tt0218433,2000-11-10,2000
The Pink Panther,Comedy,115.0,6.9,tt0057413,1963-12-19,1963
The Pink Panther Strikes Again,Comedy,103.0,6.8,tt0075066,1976-12-15,1976
Commando,Action,90.0,6.4,tt0088944,1985-10-03,1985
Dracula,Horror,109.0,6.4,tt0079073,1979-07-20,1979
The Discreet Charm of the Bourgeoisie,Comedy,101.0,7.4,tt0068361,1972-09-15,1972
Waco: The Rules of Engagement,Documentary,136.0,7.3,tt0120472,1997-09-19,1997
The Road Home,Drama,89.0,7.7,tt0235060,1999-10-16,1999
Ikiru,Drama,143.0,8.1,tt0044741,1952-10-09,1952
Comic Book Villains,Action,92.0,5.6,tt0287969,2002-09-03,2002
An Angel at My Table,Drama,158.0,6.9,tt0099040,1990-09-05,1990
War Photographer,Documentary,96.0,7.3,tt0309061,2001-01-01,2001
"Ay, Carmela!",Drama,102.0,6.5,tt0101025,1990-03-16,1990
Far Away,Drama,120.0,7.0,tt0258242,2001-08-29,2001
Incident at Oglala,Documentary,89.0,8.2,tt0104504,1992-05-08,1992
Predictions of Fire,Music,90.0,8.0,tt0114176,1996-10-02,1996
The Handmaid's Tale,Drama,108.0,5.8,tt0099731,1990-03-09,1990
Revolution OS,Documentary,85.0,6.9,tt0308808,2001-01-01,2001
Live Nude Girls Unite!,Documentary,75.0,0.0,tt0264802,2000-10-06,2000
All the Little Animals,Drama,112.0,5.8,tt0120584,1999-07-09,1999
Earth,Drama,101.0,6.6,tt0150433,1998-09-16,1998
Fire,Drama,108.0,6.0,tt0116308,1996-09-06,1996
Death in Venice,Drama,130.0,7.1,tt0067445,1971-03-01,1971
Marci X,Comedy,84.0,3.3,tt0266747,2003-08-22,2003
The Medallion,Thriller,88.0,5.3,tt0288045,2003-08-15,2003
My Boss's Daughter,Comedy,83.0,4.4,tt0270980,2003-08-21,2003
Autumn Spring,Family,95.0,7.0,tt0286476,2001-09-27,2001
The Battle of Shaker Heights,Comedy,79.0,5.6,tt0357470,2003-08-22,2003
Don't Tempt Me,Comedy,95.0,5.9,tt0284491,2001-11-30,2001
Dust,Action,127.0,5.6,tt0243232,2001-08-29,2001
Stoked: The Rise And Fall Of Gator,Documentary,82.0,7.2,tt0271211,2004-06-25,2004
Venus Boyz,Documentary,102.0,7.0,tt0293685,2002-07-04,2002
Suddenly,Drama,90.0,6.3,tt0324158,2002-04-26,2002
Jeepers Creepers 2,Horror,104.0,5.5,tt0301470,2003-08-08,2003
Bollywood/Hollywood,Comedy,101.0,6.1,tt0303785,2002-01-01,2002
Civil Brand,Crime,95.0,5.3,tt0326806,2003-08-29,2003
Nola,Comedy,97.0,0.0,tt0317950,2003-01-01,2003
Once Upon a Time in the Midlands,Action,104.0,5.9,tt0301684,2002-09-06,2002
The Other Side of the Bed,Romance,114.0,6.3,tt0301524,2002-04-27,2002
Zero Day,Drama,92.0,7.1,tt0365960,2003-09-03,2003
Dickie Roberts: Former Child Star,Comedy,98.0,5.1,tt0325258,2003-09-05,2003
The Order,Drama,102.0,4.8,tt0304711,2003-09-05,2003
Home Room,Drama,133.0,6.8,tt0264689,2002-04-12,2002
Party Monster,Comedy,98.0,5.9,tt0320244,2003-09-05,2003
Taking Sides,Drama,108.0,6.1,tt0260414,2001-01-01,2001
Cabin Fever,Horror,93.0,5.5,tt0303816,2003-08-15,2003
Matchstick Men,Comedy,116.0,6.9,tt0325805,2003-09-01,2003
Once Upon a Time in Mexico,Action,102.0,6.2,tt0285823,2003-09-11,2003
Dummy,Comedy,91.0,6.1,tt0246592,2002-09-12,2002
Lost in Translation,Drama,102.0,7.3,tt0335266,2003-08-31,2003
Luster,Drama,0.0,4.8,tt1351186,2010-12-12,2010
Millennium Actress,Animation,87.0,7.8,tt0291350,2001-07-28,2001
So Close,Action,110.0,6.4,tt0300620,2002-08-22,2002
Children Of The Night,Horror,92.0,4.4,tt0103957,1991-09-06,1991
Daisy Miller,Drama,91.0,5.8,tt0071385,1974-05-22,1974
Enlightenment Guaranteed,Comedy,109.0,6.8,tt0177749,2000-01-20,2000
Gotcha!,Action,101.0,6.1,tt0089222,1985-05-03,1985
Hard to Hold,Comedy,93.0,4.8,tt0087384,1984-06-29,1984
Kuffs,Action,102.0,5.3,tt0104647,1992-01-10,1992
Once Upon a Time in China,Action,134.0,7.4,tt0103285,1991-08-15,1991
Once Upon a Time in China II,Action,113.0,7.1,tt0105839,1992-09-16,1992
Once Upon a Time in China III,Action,105.0,6.7,tt0108592,1993-01-01,1993
Paper Moon,Comedy,102.0,7.8,tt0070510,1973-05-09,1973
Sgt. Pepper's Lonely Hearts Club Band,Adventure,113.0,4.5,tt0078239,1978-07-24,1978
A Song for Martin,Drama,118.0,6.5,tt0257215,2001-03-16,2001
Targets,Thriller,90.0,6.6,tt0063671,1968-05-15,1968
The Ugly American,Thriller,115.0,5.8,tt0056632,1963-04-02,1963
The Bostonians,Drama,122.0,5.5,tt0086992,1984-01-01,1984
Convoy,Action,110.0,6.1,tt0077369,1978-06-27,1978
Day of the Dead,Horror,96.0,6.9,tt0088993,1985-07-19,1985
"Hello, Dolly!",Comedy,146.0,6.6,tt0064418,1969-12-12,1969
I'm Going Home,Drama,90.0,6.1,tt0283422,2001-01-01,2001
Memoirs of an Invisible Man,Comedy,99.0,5.7,tt0104850,1992-02-28,1992
The Rose,Drama,125.0,6.8,tt0079826,1979-11-07,1979
See No Evil,Crime,89.0,6.1,tt0067727,1971-09-02,1971
Super Sucker,Comedy,93.0,3.0,tt0293624,2002-01-01,2002
Indiscretion of an American Wife,Drama,90.0,5.3,tt0046366,1953-04-02,1953
At War with the Army,Comedy,93.0,5.1,tt0042209,1950-04-14,1950
Bingo,Action,90.0,4.5,tt0101455,1991-08-09,1991
God Told Me To,Horror,91.0,5.1,tt0075930,1976-10-31,1976
"I, Madman",Horror,89.0,5.4,tt0097557,1989-01-01,1989
Jungle Book,Action,108.0,6.6,tt0034928,1942-04-03,1942
Once Bitten,Horror,94.0,5.3,tt0089730,1985-11-15,1985
Shrimp on the Barbie,Comedy,90.0,6.4,tt0100608,1990-08-31,1990
Squirm,Horror,92.0,5.2,tt0075261,1976-07-30,1976
The Adventures of Huckleberry Finn,Drama,107.0,5.9,tt0053571,1960-08-03,1960
The Brood,Horror,92.0,6.6,tt0078908,1979-05-25,1979
The Prince and the Pauper,Adventure,118.0,6.4,tt0029440,1937-05-08,1937
Anything Else,Comedy,108.0,6.2,tt0313792,2003-08-27,2003
Cold Creek Manor,Mystery,118.0,4.9,tt0331468,2003-09-19,2003
The Fighting Temptations,Comedy,122.0,5.3,tt0191133,2003-09-17,2003
Secondhand Lions,Comedy,111.0,6.9,tt0327137,2003-09-19,2003
Underworld,Fantasy,121.0,6.6,tt0320691,2003-09-19,2003
Bubba Ho-tep,Comedy,92.0,6.7,tt0281686,2002-06-09,2002
Casa de los Babys,Drama,96.0,5.6,tt0303830,2003-09-05,2003
Demonlover,Thriller,121.0,5.7,tt0284034,2002-05-19,2002
Close Your Eyes,Crime,108.0,5.6,tt0286594,2002-02-01,2002
In This World,Drama,88.0,6.3,tt0310154,2002-11-17,2002
Tibet: Cry of the Snow Lion,Documentary,104.0,8.0,tt0373389,2002-09-13,2002
Yossi & Jagger,War,65.0,6.7,tt0334754,2002-08-28,2002
Duplex,Action,89.0,5.9,tt0266489,2003-09-26,2003
The Rundown,Adventure,104.0,6.4,tt0327850,2003-09-26,2003
Under the Tuscan Sun,Romance,113.0,6.4,tt0328589,2003-04-30,2003
Kart Racer,Action,94.0,3.8,tt0300069,2003-05-16,2003
Luther,Drama,123.0,6.6,tt0309820,2003-10-29,2003
Mambo Italiano,Comedy,92.0,5.6,tt0330602,2003-06-06,2003
My Life Without Me,Drama,106.0,7.2,tt0314412,2003-03-07,2003
National Lampoon Presents Dorm Daze,Comedy,96.0,4.6,tt0362511,2003-09-26,2003
To Be and to Have,Documentary,104.0,7.2,tt0318202,2002-05-19,2002
The Triplets of Belleville,Adventure,80.0,7.3,tt0286244,2003-06-11,2003
Videodrome,Horror,87.0,7.1,tt0086541,1983-02-04,1983
Life and Debt,Documentary,80.0,6.3,tt0284262,2003-02-28,2003
Lagaan: Once Upon a Time in India,Adventure,224.0,7.2,tt0169102,2001-06-15,2001
Judgment at Nuremberg,Drama,186.0,7.6,tt0055031,1961-12-01,1961
Journey of Hope,Drama,110.0,7.7,tt0100470,1990-08-01,1990
"Same Time, Next Year",Comedy,119.0,6.5,tt0078199,1978-04-23,1978
A Brief History of Time,Documentary,80.0,7.4,tt0103882,1991-10-01,1991
Jacob the Liar,History,100.0,7.3,tt0071688,1974-12-22,1974
Leningrad Cowboys Go America,Comedy,78.0,6.7,tt0097728,1989-03-24,1989
The Rules of the Game,Drama,110.0,7.7,tt0031885,1939-06-08,1939
The Song Remains the Same,Documentary,137.0,8.0,tt0075244,1976-11-05,1976
Seven Brides for Seven Brothers,Comedy,102.0,7.1,tt0047472,1954-07-22,1954
Kiss of the Spider Woman,Drama,120.0,6.8,tt0089424,1985-07-26,1985
All the President's Men,Drama,138.0,7.6,tt0074119,1976-04-04,1976
Angie,Comedy,107.0,5.0,tt0109129,1994-03-04,1994
The Apartment,Mystery,116.0,6.5,tt0115561,1996-07-27,1996
Avalon,Action,107.0,6.8,tt0267287,2001-01-20,2001
Babette's Feast,Comedy,102.0,7.0,tt0092603,1987-08-28,1987
The Barber of Siberia,Comedy,180.0,7.2,tt0120125,1998-10-13,1998
Beethoven,Comedy,87.0,5.6,tt0103786,1992-04-03,1992
Beethoven's 2nd,Family,89.0,5.0,tt0106375,1993-12-14,1993
Black Moon Rising,Science Fiction,100.0,5.9,tt0090735,1986-01-10,1986
Boyz n the Hood,Crime,112.0,7.4,tt0101507,1991-07-12,1991
Bugsy,Drama,134.0,6.0,tt0101516,1991-12-10,1991
Bugsy Malone,Drama,93.0,6.5,tt0074256,1976-06-26,1976
By the Sword,Drama,91.0,5.2,tt0101524,1991-10-07,1991
Cobra,Action,87.0,5.6,tt0090859,1986-03-21,1986
Common Wealth,Comedy,105.0,6.9,tt0255067,2000-09-29,2000
Consenting Adults,Crime,99.0,5.6,tt0104006,1992-10-16,1992
Phenomena,Horror,116.0,6.7,tt0087909,1985-01-31,1985
Crimewave,Thriller,83.0,5.3,tt0088967,1985-09-19,1985
Crying Freeman,Action,102.0,6.3,tt0112750,1995-04-23,1995
Time and Tide,Drama,113.0,5.9,tt0251433,2000-10-19,2000
